,onnxruntime__fail,tensorrt__fail,tvm__fail,openvino__fail,torchscript__fail,torch_compile__fail,xla__fail,tensorflow__fail,tflite__fail,onnxruntime__pass,tensorrt__pass,tvm__pass,openvino__pass,torchscript__pass,torch_compile__pass,xla__pass,tensorflow__pass,tflite__pass
mbconv_expand_dwconv_project,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_bn_hardswish_v2,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
gemm_bias_gelu_exact,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
matmul_bias_swiglu,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
channel_shuffle_g4,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
depth_to_space_dcr_x2,False,False,False,False,True,True,False,False,False,True,True,True,True,False,False,True,True,True
pad_constant_conv,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
split_swap_concat_channel,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
mish_softplus_tanh,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
swish_silu,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
gelu_tanh_approx,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
hardswish_minmax,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
rmsnorm_last_axis,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
groupnorm_g4_via_in,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
weightnorm_apply,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
squeeze_excite_r4,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
eca_channel_attention,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False
mbconv_residual,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
constant_of_shape_add_v2,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
sign_abs_roundtrip,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
neg_neg_identity,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
multi_query_attention_h4,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
prenorm_self_attention,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
causal_masked_attention_trilu,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
depthwise_separable_conv_relu,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
convtranspose_bn_lrelu_up2x,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False
gru_cell_algebraic,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_bias_prelu_per_channel,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
matmul_add_tanh_swish,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
space_to_depth_b2,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False
sequence_slice_swap_concat,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
matrix_transpose_via_reshape,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
maxpool_3x3_ceil_mode,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False
pow_of_two_via_pow,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
scalar_broadcast_affine,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
thresholded_relu_via_where,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
softsign_via_div,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
lrn_alexnet_size5,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False
l2_normalize_last_axis,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
bn_relu_eval_only,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
densenet_concat_block,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
highway_block,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
glu_split_sigmoid_gate,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
